,Unnamed: 0,neglogprob,seed,sub_id,x0_alpha,x0_beta,x0_exp,xopt_alpha,xopt_beta,xopt_exp,model
0,40.0,46.3893728079126,70453242.0,411256.0,0.2950310792530406,2.4040082846925066,1.0,0.05,0.18898406819882385,,LearningParams_Fit_alpha-beta_Fix_exp_
1,24.0,46.389372807913006,42340098.0,411256.0,0.7304948301137506,0.5135343621381777,1.0,0.05,0.1889840300044948,,LearningParams_Fit_alpha-beta_Fix_exp_
2,36.0,46.38937280791478,39538688.0,411256.0,0.7193790501657007,0.95389992859065,1.0,0.05,0.1889839947845346,,LearningParams_Fit_alpha-beta_Fix_exp_
3,25.0,46.389372807915066,17524044.0,411256.0,0.5271178782805594,2.6721298560447746,1.0,0.05,0.18898413523927327,,LearningParams_Fit_alpha-beta_Fix_exp_
4,21.0,46.389372807919685,20863682.0,411256.0,0.6313999204646648,2.036472895856688,1.0,0.05,0.18898394131015336,,LearningParams_Fit_alpha-beta_Fix_exp_
5,8.0,46.3893728079201,7495169.0,411256.0,0.4824856844346024,1.9844777213796136,1.0,0.05,0.18898393881490025,,LearningParams_Fit_alpha-beta_Fix_exp_
6,13.0,46.389372807922285,10512612.0,411256.0,0.2732676212663845,1.1690422539194745,1.0,0.05,0.1889839217211636,,LearningParams_Fit_alpha-beta_Fix_exp_
7,39.0,46.3893728079233,45712483.0,411256.0,0.4718899929500506,0.7921654634689285,1.0,0.05,0.1889839151753001,,LearningParams_Fit_alpha-beta_Fix_exp_
8,27.0,46.389372807924715,69085124.0,411256.0,0.7626767782406924,0.5490175700265776,1.0,0.05,0.18898422095497167,,LearningParams_Fit_alpha-beta_Fix_exp_
9,5.0,46.389372807932226,75715600.0,411256.0,0.518109919431712,1.515954954062937,1.0,0.05,0.18898386277905568,,LearningParams_Fit_alpha-beta_Fix_exp_
10,48.0,46.3893728079371,69452488.0,411256.0,0.3673925177763476,2.484528535827124,1.0,0.05,0.18898428706187653,,LearningParams_Fit_alpha-beta_Fix_exp_
11,3.0,46.38937280793872,21274178.0,411256.0,0.1347350063638242,2.524781277396708,1.0,0.05,0.1889838319584082,,LearningParams_Fit_alpha-beta_Fix_exp_
12,42.0,46.38937280793915,15529972.0,411256.0,0.39569525166924413,0.9351291428303822,1.0,0.05,0.18898383031200205,,LearningParams_Fit_alpha-beta_Fix_exp_
13,47.0,46.38937280797491,29656445.0,411256.0,0.229939243161401,5.0516709153668575,1.0,0.05,0.1889837061996366,,LearningParams_Fit_alpha-beta_Fix_exp_
14,15.0,46.38937280800193,18240016.0,411256.0,0.7562484764195225,0.4592088887974106,1.0,0.05,0.1889836358754501,,LearningParams_Fit_alpha-beta_Fix_exp_
15,2.0,46.38937280804625,32906666.0,411256.0,0.44413558545458204,1.0031533540371214,1.0,0.05,0.18898354041730686,,LearningParams_Fit_alpha-beta_Fix_exp_
16,32.0,46.389372808072366,66850958.0,411256.0,0.5901878574813773,1.3277886372173449,1.0,0.05,0.18898463495291767,,LearningParams_Fit_alpha-beta_Fix_exp_
17,38.0,46.38937280808123,64195714.0,411256.0,0.3577356080430113,1.033956785668085,1.0,0.05,0.18898465039581505,,LearningParams_Fit_alpha-beta_Fix_exp_
18,6.0,46.389372808114814,9629935.0,411256.0,0.6331099791534613,0.7722277621433329,1.0,0.05,0.18898342022168005,,LearningParams_Fit_alpha-beta_Fix_exp_
19,43.0,46.38937280812657,23200679.0,411256.0,0.2584376081855838,3.0820425295563654,1.0,0.05,0.18898340172571398,,LearningParams_Fit_alpha-beta_Fix_exp_
20,37.0,46.38937280814153,75591944.0,411256.0,0.6058723242552828,1.5427422401020388,1.0,0.05,0.18898474754175287,,LearningParams_Fit_alpha-beta_Fix_exp_
21,18.0,46.389372808155095,70806391.0,411256.0,0.5289471897326485,2.294236748750364,1.0,0.05,0.188984767437028,,LearningParams_Fit_alpha-beta_Fix_exp_
22,17.0,46.3893728082189,6832343.0,411256.0,0.5940332478590743,2.2720656669976926,1.0,0.05,0.18898327191289754,,LearningParams_Fit_alpha-beta_Fix_exp_
23,35.0,46.38937280823582,12663563.0,411256.0,0.1967573879115799,0.5804767987298389,1.0,0.05,0.18898487617152204,,LearningParams_Fit_alpha-beta_Fix_exp_
24,0.0,46.38937280845757,49545691.0,411256.0,0.38556219000214975,1.3228870605500611,1.0,0.05,0.1889851187193796,,LearningParams_Fit_alpha-beta_Fix_exp_
25,41.0,46.38937280859357,26140370.0,411256.0,0.5217145511127559,1.3806687564904432,1.0,0.05,0.1889852430835874,,LearningParams_Fit_alpha-beta_Fix_exp_
