,Unnamed: 0,fold,model_name,pred_acc,seed,sub_id,xopt_alpha,xopt_beta,xopt_exp_neg,xopt_exp_pos,xopt_lossave,model
0,0,1,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.5333333333333333,7218622,411477,1.176644116665121,0.7266132546088577,0.21254723944064116,0.1252724750435731,0.07539082009696202,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
1,0,2,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.3111111111111111,7218622,411477,0.69815310077574,0.5512963252586324,0.14621188817533418,0.06676339485223873,0.1650071018099471,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
2,0,3,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.2222222222222222,7218622,411477,0.1517079846332578,6.883079259772956,0.3773034452358916,0.14778011655401754,0.022790530948167284,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
3,0,4,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.4444444444444444,7218622,411477,1.6737244718687,0.4899213392680473,0.1392169249246874,0.06784816512297916,0.14004983434553314,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
0,0,1,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.6,2616268,100191,0.05,0.18258518691230466,0.8801619261405159,0.8982372783109549,0.20418674620014496,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
1,0,2,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.5111111111111111,2616268,100191,0.05,0.05760073940685455,0.6877244515803004,1.2571808095411992,10.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
2,0,3,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.5111111111111111,2616268,100191,2.0,0.026235389232865475,0.4890809005306097,0.8675641934510048,3.7627503680228256,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
3,0,4,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.4666666666666667,2616268,100191,0.34666653998442204,0.04244381311124352,0.424337655036012,0.8537023261012794,10.0,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
0,0,1,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.6666666666666666,3950449,406925,0.0648670834259724,15.0,0.6535799045853135,0.5588520650819805,0.09252295914190896,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
1,0,2,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.8888888888888888,3950449,406925,0.05,15.0,1.0158210974969797,0.8902683536808126,0.014028986060094652,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
2,0,3,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.4222222222222222,3950449,406925,0.05,0.1929256030557858,1.2371267563799284,1.120161009132178,0.9779439900098349,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
3,0,4,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.4666666666666667,3950449,406925,0.05,0.10534834555605056,0.95562026107698,1.2057094764121952,1.6721724230900457,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
0,0,1,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.6888888888888889,9970100,408952,0.05,15.0,1.0570407178110464,0.7749517368432295,0.0035095174340113496,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
1,0,2,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.4666666666666667,9970100,408952,0.05,0.08968807599029041,0.98673023874066,1.0528569614138241,1.3679259757226059,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
2,0,3,LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix,0.5111111111111111,9970100,408952,0.1642289415253153,0.619276391674312,0.7122643733497199,0.6039379375266207,0.3360010318663357,CV_LearningParams_Fit_alpha-beta-exp_neg-exp_pos-lossave_Fix_
